date,gross,net,vt,turnover,scale
2017-09-15,0.004034116955023977,0.004034116955023977,0.00566108094033292,0.0,1.403301144574593
2017-09-18,0.003302166898477639,0.0019415291789650572,0.0027165936266595266,1.133864766260485,1.399203090065132
2017-09-19,0.0016624719950940104,0.0016624719950940104,0.0023539841583148286,0.0,1.4159541726185374
2017-09-20,0.0003400796021308918,0.0003400796021308918,0.0004895180450903297,0.0,1.4394219530459256
2017-09-21,-0.0017509591567812927,-0.0017509591567812927,-0.002521291154909812,0.0,1.4399485819786826
2017-09-22,-0.0009283320906331346,-0.0009283320906331346,-0.00133623738031815,0.0,1.439395873309538
2017-09-25,-0.003194266538385834,-0.003194266538385834,-0.004603268052131558,0.0,1.4411033008089984
2017-09-26,-0.0006059773778136976,-0.0006059773778136976,-0.0008718825941778056,0.0,1.438803866447071
2017-09-27,0.0019001757892491526,0.0019001757892491526,0.002841698134200717,0.0,1.495492233023137
2017-09-28,0.0011640164065755665,0.0011640164065755665,0.0018172399423338227,0.0,1.5611806947635576
2017-09-29,0.0034990483869470927,0.0034990483869470927,0.005675252341132748,0.0,1.6219416577100798
2017-10-02,0.0048620828484190574,0.0048620828484190574,0.00786540800077138,0.0,1.6177034094202811
2017-10-03,0.004897340885703862,0.004897340885703862,0.007883058889194279,0.0,1.6096610534517244
2017-10-04,-0.0003842223864560096,-0.0019441828290133235,-0.0031130034650653482,1.2999670354644284,1.6011886426572357
2017-10-05,0.0065800293951572015,0.0065800293951572015,0.010888845659538864,0.0,1.6548323731734214
2017-10-06,-0.002093664933867961,-0.002093664933867961,-0.003470762339250093,0.0,1.6577448870187648
2017-10-09,-0.0013370410433003503,-0.0013370410433003503,-0.0022082347380331943,0.0,1.6515833594624671
2017-10-10,0.005313691185782747,0.005313691185782747,0.008758959104043337,0.0,1.6483756390432904
2017-10-11,0.0025801125424749958,0.0025801125424749958,0.004360870378768054,0.0,1.690186108930291
2017-10-12,-0.000929528442267204,-0.000929528442267204,-0.0015711155151585882,0.0,1.6902285543049067
2017-10-13,0.0043941668586298934,0.0043941668586298934,0.007473898504881555,0.0,1.7008681612085903
