date,gross,net,vt,turnover,scale
2021-08-20,0.01146147102585439,0.01146147102585439,0.014005583676981265,0.0,1.2219708661643827
2021-08-23,0.016167014359257367,0.016167014359257367,0.019409618367098494,0.0,1.2005691301922043
2021-08-24,0.008639534222179997,0.008639534222179997,0.010203336741977752,0.0,1.1810054199198674
2021-08-25,0.0022066760701294386,0.0022066760701294386,0.002577055748112547,0.0,1.1678450602681267
2021-08-26,-0.008514590432323365,-0.008514590432323365,-0.010005429057370122,0.0,1.175092229849035
2021-08-27,0.01791335604335313,0.01791335604335313,0.020691965941608485,0.0,1.1551138654047117
2021-08-30,0.003042186447777321,0.003042186447777321,0.003340657629629614,0.0,1.0981107459966373
2021-08-31,0.0023829355679802363,0.0023829355679802363,0.0026175937426527007,0.0,1.0984744102297987
2021-09-01,0.005800676052008935,0.005800676052008935,0.006370303726334358,0.0,1.0982002217014248
2021-09-02,0.002062956979442974,0.002062956979442974,0.0023045767522934086,0.0,1.117123030319166
2021-09-03,0.00024328004326969145,0.00024328004326969145,0.00027730067221893337,0.0,1.1398414292105656
2021-09-07,-0.000933401558125982,-0.0019223957117589236,-0.0021929593562274143,0.8241617946941181,1.14074295048283
2021-09-08,-0.004015351542815496,-0.004015351542815496,-0.0045731270529409925,0.0,1.1389107539347336
2021-09-09,-0.0029337897733397954,-0.0029337897733397954,-0.003330169579232337,0.0,1.1351084557914002
2021-09-10,-0.008267470476862859,-0.008267470476862859,-0.00940096609430357,0.0,1.1371030741038488
2021-09-13,0.00032083824641794957,0.00032083824641794957,0.0003599354797212251,0.0,1.1218596403009395
2021-09-14,-0.004315513454672766,-0.004315513454672766,-0.004861841919001452,0.0,1.1265963992620927
2021-09-15,0.007710283306420786,0.007710283306420786,0.008707879475708315,0.0,1.129385150926526
2021-09-16,0.0006069731776283701,0.0006069731776283701,0.0006836731779165586,0.0,1.1263647276604196
2021-09-17,-0.009061532000953573,-0.009061532000953573,-0.010266659355051621,0.0,1.1329937756630146
2021-09-20,-0.01958343535242921,-0.01958343535242921,-0.02231465250300803,0.0,1.139465681144653
2021-09-21,0.0011596354161162565,0.0011596354161162565,0.001255988616745481,0.0,1.0830892186372867
2021-09-22,0.01077238370921345,0.01077238370921345,0.011666150888897246,0.0,1.0829683757847737
2021-09-23,0.006138039935060084,0.004759911873575077,0.00506706406087481,1.148440051237506,1.064528965127465
2021-09-24,-0.0006015788594813201,-0.0006015788594813201,-0.0006429525502901454,0.0,1.0687751741218061
2021-09-27,-0.004359913803782911,-0.004359913803782911,-0.004660414158789167,0.0,1.06892346237339
2021-09-28,-0.021094641447000434,-0.02247276950848544,-0.023962406773489743,1.148440051237506,1.0662863232963713
2021-09-29,-0.0013418068018010978,-0.0013418068018010978,-0.001326418712327076,0.0,0.9885318143764316
2021-09-30,-0.007838241299749013,-0.007838241299749013,-0.007746756773225955,0.0,0.9883284370786101
2021-10-01,0.005008333950614155,0.002608333950614156,0.0025623547518671737,1.9999999999999998,0.9823721963454273
2021-10-04,0.004137919158174881,0.004137919158174881,0.00407483011872809,0.0,0.9847534383744176
2021-10-05,-0.00384021381974567,-0.00384021381974567,-0.003772650155861272,0.0,0.9824062755211707
2021-10-06,0.005107430090211772,0.003644040017562892,0.0035737575879968564,1.2194917272074,0.9807130467208645
2021-10-07,0.006814911062991915,0.006814911062991915,0.006717630617426787,0.0,0.9857253536156318
2021-10-08,-0.004331601937202772,-0.004331601937202772,-0.0043230064975039225,0.0,0.998015644137328
2021-10-11,-0.008339991870095681,-0.008339991870095681,-0.008313018449719331,0.0,0.9967657737805397
2021-10-12,0.0026695280333189765,0.0026695280333189765,0.002638193105238131,0.0,0.9882619969935708
2021-10-13,0.010170506732896363,0.010170506732896363,0.010046768942526343,0.0,0.9878336651634286
2021-10-14,0.010335682959084219,0.009214611778150845,0.008985977400778533,0.9342259841111453,0.9751878448189824
2021-10-15,0.005979528538125456,0.005979528538125456,0.005808704321329656,0.0,0.9714318251503232
2021-10-18,-0.0036315572002784983,-0.0036315572002784983,-0.003587672265360184,0.0,0.9879156701937811
2021-10-19,0.008829746564494662,0.007985457370719234,0.008014430327461432,0.7035743281461904,1.0036282150661069
2021-10-20,0.00016267916311240758,0.00016267916311240758,0.00016301096940822034,0.0,1.0020396361123611
2021-10-21,-0.005559388792658278,-0.005559388792658278,-0.005590308040245821,0.0,1.0055616271393675
2021-10-22,-0.0006590292898639563,-0.0006590292898639563,-0.0006646195218418778,0.0,1.0084825243185709
2021-10-25,0.005534936044943144,0.005534936044943144,0.005588190252151102,0.0,1.0096214674886104
2021-10-26,-0.002052474630192664,-0.002052474630192664,-0.0021027475151644817,0.0,1.0244937911691014
2021-10-27,-0.006743455240322892,-0.006743455240322892,-0.006960145032046939,0.0,1.0321333476684678
2021-10-28,0.007593357909033285,0.007593357909033285,0.007800076995506614,0.0,1.0272236721816326
2021-10-29,-0.0046264487836216615,-0.0046264487836216615,-0.004745257234711202,0.0,1.0256802693915343
2021-11-01,0.011093462663883107,0.011093462663883107,0.011344958319909962,0.0,1.022670618151143
2021-11-02,-0.0023880635352459744,-0.0023880635352459744,-0.0024075882647261997,0.0,1.0081759673442752
2021-11-03,0.008064958002200886,0.008064958002200886,0.008144400083701974,0.0,1.0098502783869934
2021-11-04,0.0063630724588326516,0.005160848197442076,0.005246374177519005,1.001853551158813,1.0165720782330547
2021-11-05,0.004532580104668119,0.004532580104668119,0.004591358206308978,0.0,1.0129679123773947
2021-11-08,0.002225959655690195,0.002225959655690195,0.0022498191885598614,0.0,1.0107187624935945
2021-11-09,-0.0056886204760655595,-0.0056886204760655595,-0.005748825195463179,0.0,1.0105833601750944
2021-11-10,-0.013682647949291395,-0.013682647949291395,-0.013760008345101885,0.0,1.0056539053037974
2021-11-11,0.006127519452321142,0.006127519452321142,0.006000536596178052,0.0,0.979276629453214
2021-11-12,0.007057700358839809,0.007057700358839809,0.006886602850274207,0.0,0.9757573288937804
2021-11-15,-0.0018399161567525014,-0.0018399161567525014,-0.00179087084308622,0.0,0.9733437235787702
2021-11-16,0.005250616871229005,0.005250616871229005,0.005208468800847124,0.0,0.9919727393151014
2021-11-17,-0.004876271553717074,-0.004876271553717074,-0.004867158283825477,0.0,0.9981310987726576
2021-11-18,0.0021529745009549383,0.0021529745009549383,0.0021525783051126474,0.0,0.9998159774571806
2021-11-19,-0.00030878368316817066,-0.00030878368316817066,-0.0003138143389618115,0.0,1.0162918446403175
2021-11-22,-0.009322411472566855,-0.009322411472566855,-0.009832622736651555,0.0,1.0547295370501617
2021-11-23,-0.0034627549550898364,-0.0034627549550898364,-0.0036410296109916714,0.0,1.051483474347439
2021-11-24,0.00266504885631742,0.00266504885631742,0.002799051305537494,0.0,1.0502814231350488
2021-11-26,-0.026951506112150848,-0.026951506112150848,-0.028605723281563744,0.0,1.0613775409258894
2021-11-29,0.01180063620668494,0.01180063620668494,0.011818582615370695,0.0,1.0015208000968276
2021-11-30,-0.014204877144417104,-0.014204877144417104,-0.013955310714435322,0.0,0.982430933583972
2021-12-01,-0.011138944246732787,-0.012892239096676935,-0.01236977681612121,1.4610790416201243,0.9594746671514652
2021-12-02,0.019065564152374852,0.019065564152374852,0.01805655652033014,0.0,0.9470769590671133
2021-12-03,-0.0084578695853164,-0.0084578695853164,-0.007643602792097008,0.0,0.9037267263338951
2021-12-06,0.017050761537852743,0.017050761537852743,0.015307424462513671,0.0,0.8977560579057505
2021-12-07,0.019722601316807722,0.019722601316807722,0.017106472481781418,0.0,0.8673537636844678
2021-12-08,0.0016517983064331752,0.0016517983064331752,0.0013768234780180354,0.0,0.8335300215866495
2021-12-09,-0.009869358941388257,-0.009869358941388257,-0.008230150204103486,0.0,0.8339092997813093
