date,gross,net,vt,turnover,scale
2020-04-30,-0.0011321315815377175,-0.0011321315815377175,-0.00043698766584798375,0.0,0.3859866405762176
2020-05-01,-0.01475486369654261,-0.01475486369654261,-0.0056957438230365596,0.0,0.3860248349411183
2020-05-04,0.005206648904388569,0.005206648904388569,0.0020146892557967753,0.0,0.38694547928872997
2020-05-05,0.010589605285442626,0.010589605285442626,0.004099968262388228,0.0,0.38716912971481515
2020-05-06,-0.018793874799473486,-0.018793874799473486,-0.007314305847364324,0.0,0.3891856216669718
2020-05-07,0.010663588534369836,0.009725094621056437,0.003757450095077034,0.782078261094499,0.38636643050665376
2020-05-08,0.010665217053459634,0.010665217053459634,0.004113871894663254,0.0,0.385727911025381
2020-05-11,-0.009385890609532233,-0.009385890609532233,-0.0036230057275138555,0.0,0.38600553514169034
2020-05-12,-0.00883409725991174,-0.00883409725991174,-0.003404582272626389,0.0,0.3853910787326337
2020-05-13,-0.0041267618180788005,-0.0041267618180788005,-0.0015883457717511956,0.0,0.3848891314233019
2020-05-14,0.011097653904480342,0.011097653904480342,0.004275770952848747,0.0,0.3852860243841749
2020-05-15,0.0016647431891551102,0.0009006314568126368,0.00034633268997115435,0.6367597769520612,0.38454429650596117
2020-05-18,0.016751932856626052,0.016751932856626052,0.006442445155162218,0.0,0.3845792130556431
2020-05-19,-0.004967643985738823,-0.004967643985738823,-0.0019011598187257425,0.0,0.3827085483950977
2020-05-20,0.006923646093933213,0.005870867096400245,0.002246500271010356,0.8773158312774738,0.38265221033325897
2020-05-21,-0.0038313634916764174,-0.0038313634916764174,-0.0014667821450342815,0.0,0.3828355488120208
2020-05-22,0.007672174778745675,0.007672174778745675,0.0029394062128015788,0.0,0.38312555404038157
2020-05-26,0.027360571300036343,0.024960571300036344,0.009829801329229889,1.9999999999999998,0.39381315479808654
2020-05-27,0.01624672504773644,0.01624672504773644,0.006397076270509223,0.0,0.3937455857542496
2020-05-28,-0.0034508665999022203,-0.0034508665999022203,-0.0013533166049685328,0.0,0.39216717476325474
2020-05-29,0.0001981863720843741,0.0001981863720843741,7.856210158326488e-05,0.0,0.39640516528461683
2020-06-01,0.013481341492876057,0.013481341492876057,0.0054125867537070235,0.0,0.4014872523307266
2020-06-02,0.01120674251109418,0.01120674251109418,0.004562272621130873,0.0,0.4071006910897101
2020-06-03,0.017438213280412597,0.017438213280412597,0.007088707707750488,0.0,0.40650424408519253
2020-06-04,-0.0073480346860082995,-0.0073480346860082995,-0.0030107904560100055,0.0,0.40974091504262733
2020-06-05,0.02596232710759463,0.02596232710759463,0.010611411936565132,0.0,0.4087234511986804
2020-06-08,0.014168167075325424,0.014168167075325424,0.005722189759146734,0.0,0.40387650207147935
2020-06-09,-0.009471380058482004,-0.009471380058482004,-0.004019960861976047,0.0,0.4244324308764286
2020-06-10,-0.0062895346174339055,-0.0062895346174339055,-0.002660400356924852,0.0,0.42298842740296105
2020-06-11,-0.06003352218124271,-0.061352880402057275,-0.02650403489523716,1.0994651840121419,0.4319933264999313
2020-06-12,0.01602768818119539,0.01602768818119539,0.0063459015487218355,0.0,0.39593367907963256
2020-06-15,0.006686344429944572,0.006686344429944572,0.002638785679093691,0.0,0.3946529687097746
2020-06-16,0.015733179065725668,0.015733179065725668,0.006231304163089996,0.0,0.3960613514318117
2020-06-17,-0.004885861884946736,-0.004885861884946736,-0.00206584544461312,0.0,0.42282108935128876
2020-06-18,6.681358506503343e-05,6.681358506503343e-05,2.9619009742139074e-05,0.0,0.44330819418400047
2020-06-19,-0.004679310439675908,-0.004679310439675908,-0.002126817792657929,0.0,0.4545152154523934
2020-06-22,0.005736494503521088,0.005736494503521088,0.0026014525386959184,0.0,0.4534916815660042
2020-06-23,0.0035337685024258176,0.0035337685024258176,0.0016288241043357753,0.0,0.46093118528212595
2020-06-24,-0.02321465157780816,-0.02321465157780816,-0.010867843325185677,0.0,0.4681458728234671
2020-06-25,0.009675069758309675,0.009675069758309675,0.004550049582042877,0.0,0.47028597164738306
2020-06-26,-0.01848228390166281,-0.01848228390166281,-0.009163536631611258,0.0,0.4958010968972744
2020-06-29,0.014433200740507022,0.01310892068697029,0.006409726763730719,1.1035667112806102,0.48895915360154063
2020-06-30,0.007873137614292891,0.007873137614292891,0.003906424256755056,0.0,0.49617121510277357
2020-07-01,0.004713099761068803,0.004713099761068803,0.002368978304554108,0.0,0.5026369957458503
2020-07-02,0.01348139962090782,0.01348139962090782,0.007101892404892805,0.0,0.5267919210612773
2020-07-06,0.025327795363862163,0.025327795363862163,0.01342580994918495,0.0,0.5300820602941608
2020-07-07,-0.014281965020355187,-0.014281965020355187,-0.007420145019424499,0.0,0.519546505599827
2020-07-08,0.014590307629571928,0.014590307629571928,0.00788532773587543,0.0,0.5404497243014458
2020-07-09,-0.0048545664431338675,-0.0048545664431338675,-0.002608531556420133,0.0,0.5373356378939979
2020-07-10,0.006199480561244742,0.006199480561244742,0.0033562991505370907,0.0,0.5413839300535217
2020-07-13,-0.01060542349178054,-0.01060542349178054,-0.005805580052053872,0.0,0.547416145762905
2020-07-14,0.009826751599208117,0.009826751599208117,0.005359082479953088,0.0,0.5453564614765419
2020-07-15,0.011739873612128228,0.011739873612128228,0.006385830347118367,0.0,0.5439437048556719
2020-07-16,-0.006259660680621514,-0.007607697451256447,-0.004125389171904098,1.1233639755291107,0.5422651463647218
2020-07-17,0.006736167588221717,0.006736167588221717,0.0036392564853941025,0.0,0.5402562269616619
2020-07-20,0.002927166515214369,0.002927166515214369,0.0015808780828775089,0.0,0.5400711147318294
2020-07-21,0.006071245263065775,0.006071245263065775,0.003311098260032623,0.0,0.545373826383787
2020-07-22,0.0012412464810234256,0.0012412464810234256,0.0006908938652493651,0.0,0.556612949814539
2020-07-23,-0.005376873390383509,-0.005376873390383509,-0.0029987620969453154,0.0,0.557714842664619
2020-07-24,-0.005753717988316868,-0.005753717988316868,-0.0032052705299142324,0.0,0.5570781425893049
2020-07-27,0.009055913854103785,0.009055913854103785,0.00503352285042528,0.0,0.5558271568743208
2020-07-28,-0.004843570009575894,-0.004843570009575894,-0.002687098128223435,0.0,0.5547763577094902
2020-07-29,0.014362044865865217,0.014362044865865217,0.007950756473164289,0.0,0.5535950171038063
2020-07-30,-0.008595121768026279,-0.008595121768026279,-0.004736609945541314,0.0,0.5510811915616403
2020-07-31,-0.007689857677665075,-0.007689857677665075,-0.004218452334689665,0.0,0.5485735252216714
2020-08-03,0.01454516224143,0.01313648003659536,0.007265503987518439,1.1739018373621999,0.553078447748433
2020-08-04,0.008888011272611008,0.008888011272611008,0.0048931810237874875,0.0,0.5505372207240721
2020-08-05,0.006504118500567817,0.006504118500567817,0.003584557559661995,0.0,0.5511211948781467
2020-08-06,0.004133779648096495,0.004133779648096495,0.002322958945523245,0.0,0.5619455179699555
2020-08-07,-0.005312632052336116,-0.005312632052336116,-0.002991561682794333,0.0,0.5631034962187638
2020-08-10,0.002699811064363664,0.002699811064363664,0.0015203602818405215,0.0,0.5631358067638949
2020-08-11,-0.004355630462998377,-0.004355630462998377,-0.0024687489646385975,0.0,0.5667948614123552
2020-08-12,0.017468605320580605,0.017468605320580605,0.009938850817696293,0.0,0.5689550273362038
2020-08-13,-0.0008091359631520644,-0.0008091359631520644,-0.00045701315949184804,0.0,0.5648162735364163
2020-08-14,-0.0009233910657233599,-0.0009233910657233599,-0.0005227378866766126,0.0,0.5661067191148462
2020-08-17,0.008440080499673356,0.008440080499673356,0.0047756836233019935,0.0,0.5658338950069043
2020-08-18,0.001819798872908712,0.001819798872908712,0.0010373406736367457,0.0,0.5700303968090119
2020-08-19,-0.004413048525159832,-0.005821730729994472,-0.0033276761056362475,1.1739018373621999,0.5715956748895199
2020-08-20,-0.002694557870008245,-0.002694557870008245,-0.0015356415514314185,0.0,0.5699048324490873
2020-08-21,-0.0006999277328256276,-0.0006999277328256276,-0.00039914016410131205,0.0,0.5702591073080819
2020-08-24,0.013907097629521688,0.013907097629521688,0.007935817327074482,0.0,0.5706307339231227
2020-08-25,0.003639419748086706,0.003639419748086706,0.0021134749773950774,0.0,0.5807175658993885
2020-08-26,0.0021765441022059523,0.0021765441022059523,0.0012757171778151474,0.0,0.5861205277311833
2020-08-27,-0.0035043038451570466,-0.0035043038451570466,-0.0020571784494899815,0.0,0.5870434015968693
2020-08-28,0.008791601168249188,0.008791601168249188,0.0051537992590600335,0.0,0.5862185010931736
2020-08-31,-0.01389701739008481,-0.01389701739008481,-0.008180046410633832,0.0,0.588618851155076
2020-09-01,0.009708896872870212,0.009708896872870212,0.005669110573900507,0.0,0.5839088259081039
2020-09-02,0.010110215815264636,0.010110215815264636,0.005956315062421213,0.0,0.5891382707605739
2020-09-03,-0.02441514982893082,-0.02441514982893082,-0.014393486840835407,0.0,0.5895309650641501
2020-09-04,-0.003992341512506437,-0.005244486387832669,-0.0030806089597136023,1.04345406277186,0.5873995529592158
2020-09-08,-0.0247777780756799,-0.0247777780756799,-0.014651914812226398,0.0,0.5913328776888058
2020-09-09,0.020207841192521774,0.020207841192521774,0.011640562594656779,0.0,0.5760418682904411
2020-09-10,-0.018521529389639357,-0.018521529389639357,-0.010508943479918374,0.0,0.5673906975412574
2020-09-11,0.0018283670786401205,0.0018283670786401205,0.001259082843259894,0.0,0.6886378878558448
2020-09-14,0.015667548475253125,0.015667548475253125,0.010943907811321117,0.0,0.6985079911261808
2020-09-15,0.009964069552366334,0.009964069552366334,0.006878181942770941,0.0,0.6902984675711606
2020-09-16,-0.0015233630783623965,-0.0015233630783623965,-0.0010609341577874649,0.0,0.6964420845278467
2020-09-17,-0.007806134707905443,-0.007806134707905443,-0.0054483607703623505,0.0,0.6979588457325335
